InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.2xlarge,0.0888,us-west-2a,2016-01-25,0.111319
m4.2xlarge,0.1185,us-west-2a,2016-01-26,0.114142
m4.2xlarge,0.1134,us-west-2a,2016-01-27,0.174785
m4.2xlarge,0.2,us-west-2a,2016-01-28,0.26027
m4.2xlarge,0.126,us-west-2a,2016-01-29,0.161258
m4.2xlarge,0.22,us-west-2a,2016-01-30,0.130951
m4.2xlarge,0.07282,us-west-2a,2016-01-31,0.113663
m4.2xlarge,0.126,us-west-2a,2016-02-01,0.124778
m4.2xlarge,0.22,us-west-2a,2016-02-02,0.142629
m4.2xlarge,0.1289,us-west-2a,2016-02-03,0.129879
m4.2xlarge,0.1272,us-west-2a,2016-02-04,0.109367
m4.2xlarge,0.1024,us-west-2a,2016-02-05,0.111555
m4.2xlarge,0.1206,us-west-2a,2016-02-06,0.099668
m4.2xlarge,0.1164,us-west-2a,2016-02-07,0.113639
m4.2xlarge,0.1212,us-west-2a,2016-02-08,0.122943
m4.2xlarge,0.1257,us-west-2a,2016-02-09,0.104399
m4.2xlarge,0.1056,us-west-2a,2016-02-10,0.097322
m4.2xlarge,0.0994,us-west-2a,2016-02-11,0.107945
m4.2xlarge,0.1022,us-west-2a,2016-02-12,0.102828
m4.2xlarge,0.1067,us-west-2a,2016-02-13,0.097952
m4.2xlarge,0.0908,us-west-2a,2016-02-14,0.095459
m4.2xlarge,0.0989,us-west-2a,2016-02-15,0.103258
m4.2xlarge,0.0997,us-west-2a,2016-02-16,0.102539
m4.2xlarge,0.1001,us-west-2a,2016-02-17,0.106479
m4.2xlarge,0.1156,us-west-2a,2016-02-18,0.227548
m4.2xlarge,0.1387,us-west-2a,2016-02-19,0.112491
m4.2xlarge,0.1317,us-west-2a,2016-02-20,0.09846
m4.2xlarge,0.0936,us-west-2a,2016-02-21,0.082691
m4.2xlarge,0.0818,us-west-2a,2016-02-22,0.086736
m4.2xlarge,0.0988,us-west-2a,2016-02-23,0.090427
m4.2xlarge,0.0892,us-west-2a,2016-02-24,0.091919
m4.2xlarge,0.1047,us-west-2a,2016-02-25,0.092963
m4.2xlarge,0.1007,us-west-2a,2016-02-26,0.093993
m4.2xlarge,0.1088,us-west-2a,2016-02-27,0.087489
m4.2xlarge,0.0917,us-west-2a,2016-02-28,0.0914
m4.2xlarge,0.0868,us-west-2a,2016-02-29,0.094665
m4.4xlarge,0.2203,us-west-2a,2016-01-01,0.168626
m4.4xlarge,0.1223,us-west-2a,2016-01-02,0.121724
m4.4xlarge,0.1203,us-west-2a,2016-01-03,0.123449
m4.4xlarge,0.1239,us-west-2a,2016-01-04,0.131643
m4.4xlarge,0.1374,us-west-2a,2016-01-05,0.147902
m4.4xlarge,0.4,us-west-2a,2016-01-06,0.578332
m4.4xlarge,0.8417,us-west-2a,2016-01-07,0.223073
m4.4xlarge,0.2168,us-west-2a,2016-01-08,0.180361
m4.4xlarge,0.1108,us-west-2a,2016-01-09,0.137924
m4.4xlarge,0.1031,us-west-2a,2016-01-10,0.105869
m4.4xlarge,0.1042,us-west-2a,2016-01-11,0.107304
m4.4xlarge,0.1067,us-west-2a,2016-01-12,0.147844
m4.4xlarge,0.1273,us-west-2a,2016-01-13,0.119383
m4.4xlarge,0.111,us-west-2a,2016-01-14,0.115875
m4.4xlarge,0.1269,us-west-2a,2016-01-15,0.157153
m4.4xlarge,0.1715,us-west-2a,2016-01-16,0.152561
m4.4xlarge,0.1391,us-west-2a,2016-01-17,0.147393
m4.4xlarge,0.1604,us-west-2a,2016-01-18,0.128917
m4.4xlarge,0.1218,us-west-2a,2016-01-19,0.124089
m4.4xlarge,0.1315,us-west-2a,2016-01-20,0.177846
m4.4xlarge,0.204,us-west-2a,2016-01-21,0.234138
m4.4xlarge,0.2332,us-west-2a,2016-01-22,0.190467
m4.4xlarge,0.3167,us-west-2a,2016-01-23,0.247726
m4.4xlarge,0.225,us-west-2a,2016-01-24,0.161802
m4.4xlarge,0.1291,us-west-2a,2016-01-25,0.190749
m4.4xlarge,0.3766,us-west-2a,2016-01-26,0.261847
m4.4xlarge,0.4,us-west-2a,2016-01-27,0.355865
m4.4xlarge,0.44,us-west-2a,2016-01-28,0.350752
m4.4xlarge,0.69,us-west-2a,2016-01-29,0.492808
m4.4xlarge,1.0081,us-west-2a,2016-01-30,0.375836
m4.4xlarge,0.16,us-west-2a,2016-01-31,0.22989
m4.4xlarge,0.252,us-west-2a,2016-02-01,0.221827
m4.4xlarge,0.2226,us-west-2a,2016-02-02,0.231546
m4.4xlarge,0.252,us-west-2a,2016-02-03,0.214057
m4.4xlarge,0.252,us-west-2a,2016-02-04,0.249432
m4.4xlarge,0.15,us-west-2a,2016-02-05,0.207703
m4.4xlarge,0.1444,us-west-2a,2016-02-06,0.221558
m4.4xlarge,0.2375,us-west-2a,2016-02-07,0.14205
m4.4xlarge,0.155,us-west-2a,2016-02-08,0.123473
m4.4xlarge,0.1222,us-west-2a,2016-02-09,0.128113
m4.4xlarge,0.17358,us-west-2a,2016-02-10,0.177903
m4.4xlarge,0.1995,us-west-2a,2016-02-11,0.149719
m4.4xlarge,0.2015,us-west-2a,2016-02-12,0.138841
m4.4xlarge,0.1444,us-west-2a,2016-02-13,0.137069
m4.4xlarge,0.1372,us-west-2a,2016-02-14,0.138207
m4.4xlarge,0.1432,us-west-2a,2016-02-15,0.142498
m4.4xlarge,0.1105,us-west-2a,2016-02-16,0.110951
m4.4xlarge,0.1089,us-west-2a,2016-02-17,0.12397
m4.4xlarge,0.1431,us-west-2a,2016-02-18,0.120816
m4.4xlarge,0.1184,us-west-2a,2016-02-19,0.121723
m4.4xlarge,0.1259,us-west-2a,2016-02-20,0.118941
m4.4xlarge,0.1141,us-west-2a,2016-02-21,0.114794
m4.4xlarge,0.1167,us-west-2a,2016-02-22,0.117892
m4.4xlarge,0.1171,us-west-2a,2016-02-23,0.118645
m4.4xlarge,0.1167,us-west-2a,2016-02-24,0.126757
m4.4xlarge,0.1191,us-west-2a,2016-02-25,0.12094
m4.4xlarge,0.1192,us-west-2a,2016-02-26,0.122547
m4.4xlarge,0.1127,us-west-2a,2016-02-27,0.128866
m4.4xlarge,0.1345,us-west-2a,2016-02-28,0.154712
m4.4xlarge,0.1378,us-west-2a,2016-02-29,0.15593
m4.large,0.0165,us-west-2a,2016-01-01,0.01594
m4.large,0.016,us-west-2a,2016-01-02,0.015485
m4.large,0.0168,us-west-2a,2016-01-03,0.015958
m4.large,0.0155,us-west-2a,2016-01-04,0.017468
m4.large,0.0219,us-west-2a,2016-01-05,0.018112
m4.large,0.0188,us-west-2a,2016-01-06,0.019236
m4.large,0.0258,us-west-2a,2016-01-07,0.018867
m4.large,0.016,us-west-2a,2016-01-08,0.015201
m4.large,0.0164,us-west-2a,2016-01-09,0.014919
m4.large,0.0143,us-west-2a,2016-01-10,0.01447
m4.large,0.0146,us-west-2a,2016-01-11,0.01605
m4.large,0.0215,us-west-2a,2016-01-12,0.019413
m4.large,0.0269,us-west-2a,2016-01-13,0.023253
m4.large,0.0185,us-west-2a,2016-01-14,0.017334
m4.large,0.0184,us-west-2a,2016-01-15,0.016967
m4.large,0.0194,us-west-2a,2016-01-16,0.015942
m4.large,0.015,us-west-2a,2016-01-17,0.015442
m4.large,0.0153,us-west-2a,2016-01-18,0.017238
m4.large,0.0303,us-west-2a,2016-01-19,0.023119
m4.large,0.0256,us-west-2a,2016-01-20,0.019344
m4.large,0.0218,us-west-2a,2016-01-21,0.018996
m4.large,0.0186,us-west-2a,2016-01-22,0.017108
m4.large,0.0178,us-west-2a,2016-01-23,0.015966
m4.large,0.0158,us-west-2a,2016-01-24,0.016058
m4.large,0.0158,us-west-2a,2016-01-25,0.017922
m4.large,0.0243,us-west-2a,2016-01-26,0.020844
m4.large,0.0211,us-west-2a,2016-01-27,0.024945
m4.large,0.0449,us-west-2a,2016-01-28,0.109361
m4.large,0.0521,us-west-2a,2016-01-29,0.29127
m4.large,1.26,us-west-2a,2016-01-30,0.07347
m4.large,0.0157,us-west-2a,2016-01-31,0.016085
m4.large,0.0162,us-west-2a,2016-02-01,0.017354
m4.large,0.0193,us-west-2a,2016-02-02,0.024269
m4.large,0.0384,us-west-2a,2016-02-03,0.029816
m4.large,0.019,us-west-2a,2016-02-04,0.01868
m4.large,0.0172,us-west-2a,2016-02-05,0.016657
m4.large,0.0186,us-west-2a,2016-02-06,0.01635
m4.large,0.016,us-west-2a,2016-02-07,0.015804
m4.large,0.016,us-west-2a,2016-02-08,0.01659
m4.large,0.02,us-west-2a,2016-02-09,0.018394
m4.large,0.0208,us-west-2a,2016-02-10,0.019945
m4.large,0.0231,us-west-2a,2016-02-11,0.02478
m4.large,0.0306,us-west-2a,2016-02-12,0.017902
m4.large,0.0172,us-west-2a,2016-02-13,0.017327
m4.large,0.0147,us-west-2a,2016-02-14,0.014668
m4.large,0.0145,us-west-2a,2016-02-15,0.01472
m4.large,0.0154,us-west-2a,2016-02-16,0.015864
m4.large,0.0176,us-west-2a,2016-02-17,0.017405
m4.large,0.0192,us-west-2a,2016-02-18,0.019019
m4.large,0.023,us-west-2a,2016-02-19,0.018269
m4.large,0.0201,us-west-2a,2016-02-20,0.016421
m4.large,0.0142,us-west-2a,2016-02-21,0.014237
m4.large,0.0144,us-west-2a,2016-02-22,0.014692
m4.large,0.0156,us-west-2a,2016-02-23,0.015411
m4.large,0.0163,us-west-2a,2016-02-24,0.015534
m4.large,0.0164,us-west-2a,2016-02-25,0.01589
m4.large,0.0152,us-west-2a,2016-02-26,0.014972
m4.large,0.0158,us-west-2a,2016-02-27,0.01484
m4.large,0.0153,us-west-2a,2016-02-28,0.014676
