InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.2xlarge,0.1232,us-west-2b,2016-01-25,0.134888
m4.2xlarge,0.1545,us-west-2b,2016-01-26,0.149301
m4.2xlarge,0.1501,us-west-2b,2016-01-27,0.136686
m4.2xlarge,0.1533,us-west-2b,2016-01-28,0.127226
m4.2xlarge,0.1235,us-west-2b,2016-01-29,0.123482
m4.2xlarge,0.1213,us-west-2b,2016-01-30,0.105007
m4.2xlarge,0.09207,us-west-2b,2016-01-31,0.112953
m4.2xlarge,0.126,us-west-2b,2016-02-01,0.126141
m4.2xlarge,0.1476,us-west-2b,2016-02-02,0.232553
m4.2xlarge,0.12,us-west-2b,2016-02-03,0.133905
m4.2xlarge,0.11891,us-west-2b,2016-02-04,0.126655
m4.2xlarge,0.127,us-west-2b,2016-02-05,0.11795
m4.2xlarge,0.1062,us-west-2b,2016-02-06,0.101732
m4.2xlarge,0.11531,us-west-2b,2016-02-07,0.099315
m4.2xlarge,0.0851,us-west-2b,2016-02-08,0.107236
m4.2xlarge,0.0993,us-west-2b,2016-02-09,0.109547
m4.2xlarge,0.1065,us-west-2b,2016-02-10,0.103355
m4.2xlarge,0.0742,us-west-2b,2016-02-11,0.104592
m4.2xlarge,0.0775,us-west-2b,2016-02-12,0.108065
m4.2xlarge,0.1196,us-west-2b,2016-02-13,0.100596
m4.2xlarge,0.0963,us-west-2b,2016-02-14,0.101017
m4.2xlarge,0.1232,us-west-2b,2016-02-15,0.118218
m4.2xlarge,0.0898,us-west-2b,2016-02-16,0.106443
m4.2xlarge,0.1147,us-west-2b,2016-02-17,0.111983
m4.2xlarge,0.1249,us-west-2b,2016-02-18,0.120228
m4.2xlarge,0.1257,us-west-2b,2016-02-19,0.098169
m4.2xlarge,0.0864,us-west-2b,2016-02-20,0.086321
m4.2xlarge,0.0834,us-west-2b,2016-02-21,0.084608
m4.2xlarge,0.0928,us-west-2b,2016-02-22,0.095664
m4.2xlarge,0.105,us-west-2b,2016-02-23,0.096312
m4.2xlarge,0.0897,us-west-2b,2016-02-24,0.097153
m4.2xlarge,0.0983,us-west-2b,2016-02-25,0.10469
m4.2xlarge,0.1172,us-west-2b,2016-02-26,0.111314
m4.2xlarge,0.1259,us-west-2b,2016-02-27,0.098923
m4.2xlarge,0.101,us-west-2b,2016-02-28,0.10153
m4.2xlarge,0.1018,us-west-2b,2016-02-29,0.108694
m4.4xlarge,0.1662,us-west-2b,2016-01-01,0.142788
m4.4xlarge,0.1324,us-west-2b,2016-01-02,0.131958
m4.4xlarge,0.1332,us-west-2b,2016-01-03,0.13376
m4.4xlarge,0.1399,us-west-2b,2016-01-04,0.140995
m4.4xlarge,0.14938,us-west-2b,2016-01-05,0.144415
m4.4xlarge,0.145,us-west-2b,2016-01-06,0.261833
m4.4xlarge,0.396,us-west-2b,2016-01-07,0.322737
m4.4xlarge,0.1591,us-west-2b,2016-01-08,0.194389
m4.4xlarge,0.2358,us-west-2b,2016-01-09,0.211415
m4.4xlarge,0.157,us-west-2b,2016-01-10,0.145203
m4.4xlarge,0.1903,us-west-2b,2016-01-11,0.190316
m4.4xlarge,0.1723,us-west-2b,2016-01-12,0.172119
m4.4xlarge,0.174,us-west-2b,2016-01-13,0.156922
m4.4xlarge,0.1867,us-west-2b,2016-01-14,0.180211
m4.4xlarge,0.2369,us-west-2b,2016-01-15,0.377631
m4.4xlarge,0.3842,us-west-2b,2016-01-16,0.254845
m4.4xlarge,0.1814,us-west-2b,2016-01-17,0.172602
m4.4xlarge,0.1672,us-west-2b,2016-01-18,0.165193
m4.4xlarge,0.1603,us-west-2b,2016-01-19,0.165127
m4.4xlarge,0.161,us-west-2b,2016-01-20,0.324631
m4.4xlarge,0.3276,us-west-2b,2016-01-21,0.356726
m4.4xlarge,0.3967,us-west-2b,2016-01-22,0.284528
m4.4xlarge,0.1743,us-west-2b,2016-01-23,0.149378
m4.4xlarge,0.1579,us-west-2b,2016-01-24,0.144699
m4.4xlarge,0.1328,us-west-2b,2016-01-25,0.16928
m4.4xlarge,0.18,us-west-2b,2016-01-26,0.212719
m4.4xlarge,0.2676,us-west-2b,2016-01-27,0.38387
m4.4xlarge,0.2267,us-west-2b,2016-01-28,0.247852
m4.4xlarge,0.3875,us-west-2b,2016-01-29,0.471171
m4.4xlarge,0.466,us-west-2b,2016-01-30,0.376883
m4.4xlarge,0.4096,us-west-2b,2016-01-31,0.268344
m4.4xlarge,0.2529,us-west-2b,2016-02-01,0.260864
m4.4xlarge,0.2669,us-west-2b,2016-02-02,0.30436
m4.4xlarge,0.5542,us-west-2b,2016-02-03,0.277504
m4.4xlarge,0.3169,us-west-2b,2016-02-04,0.336526
