InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.295,us-west-2b,2016-01-04,7,0.295121
m4.10xlarge,0.295,us-west-2b,2016-01-04,8,0.295512
m4.10xlarge,0.2954,us-west-2b,2016-01-04,9,0.295297
m4.10xlarge,0.2962,us-west-2b,2016-01-04,10,0.295861
m4.10xlarge,0.2958,us-west-2b,2016-01-04,11,0.295546
m4.10xlarge,0.2992,us-west-2b,2016-01-04,12,0.306702
m4.10xlarge,0.3069,us-west-2b,2016-01-04,13,0.307196
m4.10xlarge,0.3074,us-west-2b,2016-01-04,14,0.307487
m4.10xlarge,0.3069,us-west-2b,2016-01-04,15,0.307442
m4.10xlarge,0.3074,us-west-2b,2016-01-04,16,0.307372
m4.10xlarge,0.3085,us-west-2b,2016-01-04,17,0.308278
m4.10xlarge,0.3108,us-west-2b,2016-01-04,18,0.312029
m4.10xlarge,0.3131,us-west-2b,2016-01-04,19,0.315806
m4.10xlarge,0.3282,us-west-2b,2016-01-04,20,0.327712
m4.10xlarge,0.3248,us-west-2b,2016-01-04,21,0.327182
m4.10xlarge,0.33,us-west-2b,2016-01-04,22,0.32838
m4.10xlarge,0.3253,us-west-2b,2016-01-04,23,0.32032
m4.10xlarge,0.3064,us-west-2b,2016-01-05,0,0.310643
m4.10xlarge,0.3114,us-west-2b,2016-01-05,1,0.312063
m4.10xlarge,0.3125,us-west-2b,2016-01-05,2,0.308906
m4.10xlarge,0.309,us-west-2b,2016-01-05,3,0.309961
m4.10xlarge,0.3096,us-west-2b,2016-01-05,4,0.313132
m4.10xlarge,0.3143,us-west-2b,2016-01-05,5,0.31318
m4.10xlarge,0.3131,us-west-2b,2016-01-05,6,0.309702
m4.10xlarge,0.309,us-west-2b,2016-01-05,7,0.308974
m4.10xlarge,0.3108,us-west-2b,2016-01-05,8,0.310493
m4.10xlarge,0.3108,us-west-2b,2016-01-05,9,0.310979
m4.10xlarge,0.3096,us-west-2b,2016-01-05,10,0.311135
m4.10xlarge,0.3114,us-west-2b,2016-01-05,11,0.311558
m4.10xlarge,0.312,us-west-2b,2016-01-05,12,0.31125
m4.10xlarge,0.3108,us-west-2b,2016-01-05,13,0.311412
m4.10xlarge,0.312,us-west-2b,2016-01-05,14,0.311663
m4.10xlarge,0.312,us-west-2b,2016-01-05,15,0.311743
m4.10xlarge,0.3126,us-west-2b,2016-01-05,16,0.311802
m4.10xlarge,0.3114,us-west-2b,2016-01-05,17,0.31194
m4.10xlarge,0.312,us-west-2b,2016-01-05,18,0.312435
m4.10xlarge,0.3138,us-west-2b,2016-01-05,19,0.314337
m4.10xlarge,0.3152,us-west-2b,2016-01-05,20,0.314948
m4.10xlarge,0.3152,us-west-2b,2016-01-05,21,0.317904
m4.10xlarge,0.319,us-west-2b,2016-01-05,22,0.317316
m4.10xlarge,0.3197,us-west-2b,2016-01-05,23,0.320285
m4.10xlarge,0.319,us-west-2b,2016-01-06,0,0.315772
m4.10xlarge,0.3158,us-west-2b,2016-01-06,1,0.31451
m4.10xlarge,0.3113,us-west-2b,2016-01-06,2,0.311567
m4.10xlarge,0.3107,us-west-2b,2016-01-06,3,0.310982
m4.10xlarge,0.3133,us-west-2b,2016-01-06,4,0.314277
m4.10xlarge,0.3158,us-west-2b,2016-01-06,5,0.315883
m4.10xlarge,0.3158,us-west-2b,2016-01-06,6,0.31551
m4.10xlarge,0.3152,us-west-2b,2016-01-06,7,0.316232
m4.10xlarge,0.3165,us-west-2b,2016-01-06,8,0.316026
m4.10xlarge,0.3165,us-west-2b,2016-01-06,9,0.316124
m4.10xlarge,0.3152,us-west-2b,2016-01-06,10,0.316494
m4.10xlarge,0.3165,us-west-2b,2016-01-06,11,0.310068
m4.10xlarge,0.3089,us-west-2b,2016-01-06,12,0.308074
m4.10xlarge,0.3077,us-west-2b,2016-01-06,13,0.308068
m4.10xlarge,0.3095,us-west-2b,2016-01-06,14,0.308536
m4.10xlarge,0.3083,us-west-2b,2016-01-06,15,0.309366
m4.10xlarge,0.3095,us-west-2b,2016-01-06,16,0.308171
m4.10xlarge,0.3083,us-west-2b,2016-01-06,17,0.307655
m4.10xlarge,0.3077,us-west-2b,2016-01-06,18,0.307265
m4.10xlarge,0.3077,us-west-2b,2016-01-06,19,0.307227
m4.10xlarge,0.3066,us-west-2b,2016-01-06,20,0.310717
m4.10xlarge,0.3114,us-west-2b,2016-01-06,21,0.309252
m4.10xlarge,0.3066,us-west-2b,2016-01-06,22,0.313331
m4.10xlarge,0.3162,us-west-2b,2016-01-06,23,0.316111
m4.10xlarge,0.3162,us-west-2b,2016-01-07,0,0.314353
m4.10xlarge,0.3131,us-west-2b,2016-01-07,1,0.31076
m4.10xlarge,0.3096,us-west-2b,2016-01-07,2,0.30927
m4.10xlarge,0.3102,us-west-2b,2016-01-07,3,0.309799
m4.10xlarge,0.3102,us-west-2b,2016-01-07,4,0.308922
m4.10xlarge,0.3079,us-west-2b,2016-01-07,5,0.308491
m4.10xlarge,0.3079,us-west-2b,2016-01-07,6,0.308273
m4.10xlarge,0.3085,us-west-2b,2016-01-07,7,0.309217
m4.10xlarge,0.3125,us-west-2b,2016-01-07,8,0.312189
m4.10xlarge,0.3119,us-west-2b,2016-01-07,9,0.311761
m4.10xlarge,0.3108,us-west-2b,2016-01-07,10,0.311737
m4.10xlarge,0.3119,us-west-2b,2016-01-07,11,0.311792
m4.10xlarge,0.3114,us-west-2b,2016-01-07,12,0.312454
m4.10xlarge,0.3114,us-west-2b,2016-01-07,13,0.312172
m4.10xlarge,0.3119,us-west-2b,2016-01-07,14,0.31272
m4.10xlarge,0.3131,us-west-2b,2016-01-07,15,0.312597
m4.10xlarge,0.3119,us-west-2b,2016-01-07,16,0.312476
m4.10xlarge,0.309,us-west-2b,2016-01-07,17,0.314088
m4.10xlarge,0.3172,us-west-2b,2016-01-07,18,0.31912
m4.10xlarge,0.32,us-west-2b,2016-01-07,19,0.320766
m4.10xlarge,0.322,us-west-2b,2016-01-07,20,0.321395
m4.10xlarge,0.3227,us-west-2b,2016-01-07,21,0.321283
m4.10xlarge,0.3374,us-west-2b,2016-01-07,22,0.339449
m4.10xlarge,0.3255,us-west-2b,2016-01-07,23,0.323081
m4.10xlarge,0.3172,us-west-2b,2016-01-08,0,0.331849
m4.10xlarge,0.3513,us-west-2b,2016-01-08,1,0.365189
m4.10xlarge,0.3728,us-west-2b,2016-01-08,2,0.373536
m4.10xlarge,0.3862,us-west-2b,2016-01-08,3,0.388254
m4.10xlarge,0.3901,us-west-2b,2016-01-08,4,0.390581
m4.10xlarge,0.3887,us-west-2b,2016-01-08,5,0.390698
m4.10xlarge,0.3915,us-west-2b,2016-01-08,6,0.390956
m4.10xlarge,0.382,us-west-2b,2016-01-08,7,0.372507
m4.10xlarge,0.3859,us-west-2b,2016-01-08,8,0.391787
m4.10xlarge,0.3919,us-west-2b,2016-01-08,9,0.392462
m4.10xlarge,0.3919,us-west-2b,2016-01-08,10,0.391353
m4.10xlarge,0.3934,us-west-2b,2016-01-08,11,0.391031
m4.10xlarge,0.3905,us-west-2b,2016-01-08,12,0.392006
m4.10xlarge,0.3934,us-west-2b,2016-01-08,13,0.390176
m4.10xlarge,0.3905,us-west-2b,2016-01-08,14,0.391274
m4.10xlarge,0.3919,us-west-2b,2016-01-08,15,0.393447
m4.10xlarge,0.3934,us-west-2b,2016-01-08,16,0.39503
m4.10xlarge,0.3948,us-west-2b,2016-01-08,17,0.396323
m4.10xlarge,0.3963,us-west-2b,2016-01-08,18,0.388867
m4.10xlarge,0.3868,us-west-2b,2016-01-08,19,0.389417
m4.10xlarge,0.3868,us-west-2b,2016-01-08,20,0.388166
m4.10xlarge,0.3868,us-west-2b,2016-01-08,21,0.388906
m4.10xlarge,0.3926,us-west-2b,2016-01-08,22,0.392958
m4.10xlarge,0.3911,us-west-2b,2016-01-08,23,0.392322
m4.10xlarge,0.3926,us-west-2b,2016-01-09,0,0.391855
m4.10xlarge,0.3941,us-west-2b,2016-01-09,1,0.393522
m4.10xlarge,0.3945,us-west-2b,2016-01-09,2,0.399261
m4.10xlarge,0.4008,us-west-2b,2016-01-09,3,0.39629
m4.10xlarge,0.3926,us-west-2b,2016-01-09,4,0.394507
m4.10xlarge,0.3973,us-west-2b,2016-01-09,5,0.395809
m4.10xlarge,0.3957,us-west-2b,2016-01-09,6,0.39646
m4.10xlarge,0.4006,us-west-2b,2016-01-09,7,0.396719
m4.10xlarge,0.3973,us-west-2b,2016-01-09,8,0.398204
m4.10xlarge,0.3973,us-west-2b,2016-01-09,9,0.398782
m4.10xlarge,0.4025,us-west-2b,2016-01-09,10,0.412924
m4.10xlarge,0.4168,us-west-2b,2016-01-09,11,0.415095
m4.10xlarge,0.4168,us-west-2b,2016-01-09,12,0.413003
m4.10xlarge,0.4112,us-west-2b,2016-01-09,13,0.411719
m4.10xlarge,0.4112,us-west-2b,2016-01-09,14,0.412816
m4.10xlarge,0.413,us-west-2b,2016-01-09,15,0.414663
