InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.3028,us-west-2c,2016-01-04,7,0.303176
m4.10xlarge,0.3034,us-west-2c,2016-01-04,8,0.302944
m4.10xlarge,0.3046,us-west-2c,2016-01-04,9,0.302787
m4.10xlarge,0.3034,us-west-2c,2016-01-04,10,0.303193
m4.10xlarge,0.3034,us-west-2c,2016-01-04,11,0.302564
m4.10xlarge,0.3022,us-west-2c,2016-01-04,12,0.302884
m4.10xlarge,0.3028,us-west-2c,2016-01-04,13,0.301101
m4.10xlarge,0.3097,us-west-2c,2016-01-04,14,0.307676
m4.10xlarge,0.307,us-west-2c,2016-01-04,15,0.308217
m4.10xlarge,0.3119,us-west-2c,2016-01-04,16,0.31245
m4.10xlarge,0.3119,us-west-2c,2016-01-04,17,0.313718
m4.10xlarge,0.3176,us-west-2c,2016-01-04,18,0.322449
m4.10xlarge,0.3243,us-west-2c,2016-01-04,19,0.322211
m4.10xlarge,0.3226,us-west-2c,2016-01-04,20,0.321922
m4.10xlarge,0.3218,us-west-2c,2016-01-04,21,0.321664
m4.10xlarge,0.3226,us-west-2c,2016-01-04,22,0.317666
m4.10xlarge,0.3176,us-west-2c,2016-01-04,23,0.317462
m4.10xlarge,0.3176,us-west-2c,2016-01-05,0,0.315315
m4.10xlarge,0.3119,us-west-2c,2016-01-05,1,0.312669
m4.10xlarge,0.3112,us-west-2c,2016-01-05,2,0.312661
m4.10xlarge,0.3119,us-west-2c,2016-01-05,3,0.311883
m4.10xlarge,0.3119,us-west-2c,2016-01-05,4,0.312187
m4.10xlarge,0.3126,us-west-2c,2016-01-05,5,0.311793
m4.10xlarge,0.3119,us-west-2c,2016-01-05,6,0.312521
m4.10xlarge,0.3133,us-west-2c,2016-01-05,7,0.312295
m4.10xlarge,0.3119,us-west-2c,2016-01-05,8,0.311822
m4.10xlarge,0.3112,us-west-2c,2016-01-05,9,0.311814
m4.10xlarge,0.3119,us-west-2c,2016-01-05,10,0.312025
m4.10xlarge,0.3112,us-west-2c,2016-01-05,11,0.311784
m4.10xlarge,0.3133,us-west-2c,2016-01-05,12,0.312766
m4.10xlarge,0.3119,us-west-2c,2016-01-05,13,0.311504
m4.10xlarge,0.3112,us-west-2c,2016-01-05,14,0.313533
m4.10xlarge,0.3112,us-west-2c,2016-01-05,15,0.312126
m4.10xlarge,0.314,us-west-2c,2016-01-05,16,0.311781
m4.10xlarge,0.3112,us-west-2c,2016-01-05,17,0.313162
m4.10xlarge,0.3168,us-west-2c,2016-01-05,18,0.316656
m4.10xlarge,0.3176,us-west-2c,2016-01-05,19,0.317519
m4.10xlarge,0.3168,us-west-2c,2016-01-05,20,0.312946
m4.10xlarge,0.3126,us-west-2c,2016-01-05,21,0.314817
m4.10xlarge,0.3112,us-west-2c,2016-01-05,22,0.315325
m4.10xlarge,0.3168,us-west-2c,2016-01-05,23,0.317503
m4.10xlarge,0.3218,us-west-2c,2016-01-06,0,0.31559
m4.10xlarge,0.3119,us-west-2c,2016-01-06,1,0.312459
m4.10xlarge,0.3119,us-west-2c,2016-01-06,2,0.311001
m4.10xlarge,0.3083,us-west-2c,2016-01-06,3,0.307178
m4.10xlarge,0.3064,us-west-2c,2016-01-06,4,0.307271
m4.10xlarge,0.309,us-west-2c,2016-01-06,5,0.307931
m4.10xlarge,0.3112,us-west-2c,2016-01-06,6,0.311328
m4.10xlarge,0.3119,us-west-2c,2016-01-06,7,0.312356
m4.10xlarge,0.3126,us-west-2c,2016-01-06,8,0.312094
m4.10xlarge,0.3119,us-west-2c,2016-01-06,9,0.311756
m4.10xlarge,0.3112,us-west-2c,2016-01-06,10,0.311573
m4.10xlarge,0.3119,us-west-2c,2016-01-06,11,0.312062
m4.10xlarge,0.3119,us-west-2c,2016-01-06,12,0.312341
m4.10xlarge,0.3126,us-west-2c,2016-01-06,13,0.313585
m4.10xlarge,0.3133,us-west-2c,2016-01-06,14,0.313036
m4.10xlarge,0.3119,us-west-2c,2016-01-06,15,0.312194
m4.10xlarge,0.3126,us-west-2c,2016-01-06,16,0.314853
m4.10xlarge,0.3168,us-west-2c,2016-01-06,17,0.314891
m4.10xlarge,0.3191,us-west-2c,2016-01-06,18,0.318505
m4.10xlarge,0.3184,us-west-2c,2016-01-06,19,0.323484
m4.10xlarge,0.34,us-west-2c,2016-01-06,20,0.339437
m4.10xlarge,0.34,us-west-2c,2016-01-06,21,0.326925
m4.10xlarge,0.3176,us-west-2c,2016-01-06,22,0.317438
m4.10xlarge,0.32,us-west-2c,2016-01-06,23,0.317835
m4.10xlarge,0.3184,us-west-2c,2016-01-07,0,0.317336
m4.10xlarge,0.3184,us-west-2c,2016-01-07,1,0.317862
m4.10xlarge,0.3176,us-west-2c,2016-01-07,2,0.316554
m4.10xlarge,0.3168,us-west-2c,2016-01-07,3,0.316264
m4.10xlarge,0.3161,us-west-2c,2016-01-07,4,0.318966
m4.10xlarge,0.321,us-west-2c,2016-01-07,5,0.32208
m4.10xlarge,0.321,us-west-2c,2016-01-07,6,0.320167
m4.10xlarge,0.3161,us-west-2c,2016-01-07,7,0.316959
m4.10xlarge,0.3176,us-west-2c,2016-01-07,8,0.316825
m4.10xlarge,0.3161,us-west-2c,2016-01-07,9,0.316865
m4.10xlarge,0.3168,us-west-2c,2016-01-07,10,0.317563
m4.10xlarge,0.3161,us-west-2c,2016-01-07,11,0.315904
m4.10xlarge,0.3161,us-west-2c,2016-01-07,12,0.316428
m4.10xlarge,0.3161,us-west-2c,2016-01-07,13,0.316609
m4.10xlarge,0.3184,us-west-2c,2016-01-07,14,0.316965
m4.10xlarge,0.3168,us-west-2c,2016-01-07,15,0.317258
m4.10xlarge,0.3184,us-west-2c,2016-01-07,16,0.317992
m4.10xlarge,0.3226,us-west-2c,2016-01-07,17,0.327059
m4.10xlarge,0.3295,us-west-2c,2016-01-07,18,0.3328
m4.10xlarge,0.3319,us-west-2c,2016-01-07,19,0.332865
m4.10xlarge,0.331,us-west-2c,2016-01-07,20,0.334885
m4.10xlarge,0.3371,us-west-2c,2016-01-07,21,0.336985
m4.10xlarge,0.3516,us-west-2c,2016-01-07,22,0.349935
m4.10xlarge,0.3433,us-west-2c,2016-01-07,23,0.341976
m4.10xlarge,0.3351,us-west-2c,2016-01-08,0,0.355859
m4.10xlarge,0.3762,us-west-2c,2016-01-08,1,0.395729
m4.10xlarge,0.4156,us-west-2c,2016-01-08,2,0.410345
m4.10xlarge,0.4114,us-west-2c,2016-01-08,3,0.425466
m4.10xlarge,0.4469,us-west-2c,2016-01-08,4,0.441334
m4.10xlarge,0.4278,us-west-2c,2016-01-08,5,0.4202
m4.10xlarge,0.4155,us-west-2c,2016-01-08,6,0.413679
m4.10xlarge,0.4051,us-west-2c,2016-01-08,7,0.39084
m4.10xlarge,0.4073,us-west-2c,2016-01-08,8,0.417438
m4.10xlarge,0.4219,us-west-2c,2016-01-08,9,0.416085
m4.10xlarge,0.4155,us-west-2c,2016-01-08,10,0.418444
m4.10xlarge,0.4155,us-west-2c,2016-01-08,11,0.418926
m4.10xlarge,0.4176,us-west-2c,2016-01-08,12,0.417937
m4.10xlarge,0.4219,us-west-2c,2016-01-08,13,0.41721
m4.10xlarge,0.4155,us-west-2c,2016-01-08,14,0.418018
m4.10xlarge,0.4155,us-west-2c,2016-01-08,15,0.41682
m4.10xlarge,0.4155,us-west-2c,2016-01-08,16,0.417381
m4.10xlarge,0.4241,us-west-2c,2016-01-08,17,0.417968
m4.10xlarge,0.4176,us-west-2c,2016-01-08,18,0.40984
m4.10xlarge,0.4073,us-west-2c,2016-01-08,19,0.409183
m4.10xlarge,0.4114,us-west-2c,2016-01-08,20,0.407685
m4.10xlarge,0.4073,us-west-2c,2016-01-08,21,0.408412
m4.10xlarge,0.4093,us-west-2c,2016-01-08,22,0.40959
m4.10xlarge,0.4093,us-west-2c,2016-01-08,23,0.411087
m4.10xlarge,0.4177,us-west-2c,2016-01-09,0,0.415892
m4.10xlarge,0.4156,us-west-2c,2016-01-09,1,0.4156
m4.10xlarge,0.4156,us-west-2c,2016-01-09,2,0.4156
m4.10xlarge,0.4156,us-west-2c,2016-01-09,3,0.4156
m4.10xlarge,0.4156,us-west-2c,2016-01-09,4,0.416031
m4.10xlarge,0.4177,us-west-2c,2016-01-09,5,0.415936
m4.10xlarge,0.4156,us-west-2c,2016-01-09,6,0.413317
m4.10xlarge,0.4093,us-west-2c,2016-01-09,7,0.41052
m4.10xlarge,0.4114,us-west-2c,2016-01-09,8,0.411741
m4.10xlarge,0.4114,us-west-2c,2016-01-09,9,0.412693
m4.10xlarge,0.4219,us-west-2c,2016-01-09,10,0.428021
m4.10xlarge,0.4283,us-west-2c,2016-01-09,11,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-09,12,0.428619
m4.10xlarge,0.4283,us-west-2c,2016-01-09,13,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-09,14,0.428616
m4.10xlarge,0.4283,us-west-2c,2016-01-09,15,0.428511
m4.10xlarge,0.4283,us-west-2c,2016-01-09,16,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-09,17,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-09,18,0.428352
m4.10xlarge,0.4283,us-west-2c,2016-01-09,19,0.434386
m4.10xlarge,0.4372,us-west-2c,2016-01-09,20,0.433655
m4.10xlarge,0.4283,us-west-2c,2016-01-09,21,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-09,22,0.428773
m4.10xlarge,0.4283,us-west-2c,2016-01-09,23,0.428563
m4.10xlarge,0.4283,us-west-2c,2016-01-10,0,0.428617
m4.10xlarge,0.4283,us-west-2c,2016-01-10,1,0.4283
m4.10xlarge,0.4283,us-west-2c,2016-01-10,2,0.436354
m4.10xlarge,0.4414,us-west-2c,2016-01-10,3,0.4414
m4.10xlarge,0.4414,us-west-2c,2016-01-10,4,0.44197
m4.10xlarge,0.4414,us-west-2c,2016-01-10,5,0.4414
m4.10xlarge,0.4414,us-west-2c,2016-01-10,6,0.4414
m4.10xlarge,0.4414,us-west-2c,2016-01-10,7,0.441515
m4.10xlarge,0.4414,us-west-2c,2016-01-10,8,0.441821
m4.10xlarge,0.4439,us-west-2c,2016-01-10,9,0.441497
m4.10xlarge,0.4414,us-west-2c,2016-01-10,10,0.441028
m4.10xlarge,0.4348,us-west-2c,2016-01-10,11,0.432615
m4.10xlarge,0.4283,us-west-2c,2016-01-10,12,0.422253
m4.10xlarge,0.4156,us-west-2c,2016-01-10,13,0.413953
m4.10xlarge,0.4093,us-west-2c,2016-01-10,14,0.405931
m4.10xlarge,0.4032,us-west-2c,2016-01-10,15,0.398658
m4.10xlarge,0.399,us-west-2c,2016-01-10,16,0.394853
m4.10xlarge,0.3911,us-west-2c,2016-01-10,17,0.391335
m4.10xlarge,0.3852,us-west-2c,2016-01-10,18,0.387039
m4.10xlarge,0.3869,us-west-2c,2016-01-10,19,0.386731
m4.10xlarge,0.3852,us-west-2c,2016-01-10,20,0.382693
m4.10xlarge,0.3904,us-west-2c,2016-01-10,21,0.402417
m4.10xlarge,0.4013,us-west-2c,2016-01-10,22,0.404238
m4.10xlarge,0.4032,us-west-2c,2016-01-10,23,0.418341
