InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.3163,us-west-2a,2016-01-04,7,0.327593
m4.10xlarge,0.3372,us-west-2a,2016-01-04,8,0.332906
m4.10xlarge,0.3288,us-west-2a,2016-01-04,9,0.320437
m4.10xlarge,0.3098,us-west-2a,2016-01-04,10,0.313608
m4.10xlarge,0.314,us-west-2a,2016-01-04,11,0.302721
m4.10xlarge,0.2973,us-west-2a,2016-01-04,12,0.301904
m4.10xlarge,0.3061,us-west-2a,2016-01-04,13,0.307154
m4.10xlarge,0.307,us-west-2a,2016-01-04,14,0.309117
m4.10xlarge,0.3098,us-west-2a,2016-01-04,15,0.312348
m4.10xlarge,0.3135,us-west-2a,2016-01-04,16,0.313228
m4.10xlarge,0.3125,us-west-2a,2016-01-04,17,0.319991
m4.10xlarge,0.3372,us-west-2a,2016-01-04,18,0.368792
m4.10xlarge,0.3926,us-west-2a,2016-01-04,19,0.380323
m4.10xlarge,0.3717,us-west-2a,2016-01-04,20,0.3671
m4.10xlarge,0.3766,us-west-2a,2016-01-04,21,0.383646
m4.10xlarge,0.3899,us-west-2a,2016-01-04,22,0.388717
m4.10xlarge,0.3872,us-west-2a,2016-01-04,23,0.403362
m4.10xlarge,0.4085,us-west-2a,2016-01-05,0,0.407628
m4.10xlarge,0.4019,us-west-2a,2016-01-05,1,0.389421
m4.10xlarge,0.3814,us-west-2a,2016-01-05,2,0.393049
m4.10xlarge,0.4476,us-west-2a,2016-01-05,3,0.469054
m4.10xlarge,0.482,us-west-2a,2016-01-05,4,0.478352
m4.10xlarge,0.4731,us-west-2a,2016-01-05,5,0.459813
m4.10xlarge,0.451,us-west-2a,2016-01-05,6,0.451301
m4.10xlarge,0.4535,us-west-2a,2016-01-05,7,0.448457
m4.10xlarge,0.463,us-west-2a,2016-01-05,8,0.471446
m4.10xlarge,0.4696,us-west-2a,2016-01-05,9,0.446784
m4.10xlarge,0.4171,us-west-2a,2016-01-05,10,0.4067
m4.10xlarge,0.4019,us-west-2a,2016-01-05,11,0.402979
m4.10xlarge,0.4045,us-west-2a,2016-01-05,12,0.400514
m4.10xlarge,0.3978,us-west-2a,2016-01-05,13,0.396535
m4.10xlarge,0.3914,us-west-2a,2016-01-05,14,0.391802
m4.10xlarge,0.3926,us-west-2a,2016-01-05,15,0.395433
m4.10xlarge,0.3892,us-west-2a,2016-01-05,16,0.39446
m4.10xlarge,0.3951,us-west-2a,2016-01-05,17,0.395283
m4.10xlarge,0.3992,us-west-2a,2016-01-05,18,0.433159
m4.10xlarge,0.4733,us-west-2a,2016-01-05,19,0.51422
m4.10xlarge,0.5286,us-west-2a,2016-01-05,20,0.536266
m4.10xlarge,0.5112,us-west-2a,2016-01-05,21,0.493951
m4.10xlarge,0.482,us-west-2a,2016-01-05,22,0.459088
m4.10xlarge,0.451,us-west-2a,2016-01-05,23,0.458797
m4.10xlarge,0.4686,us-west-2a,2016-01-06,0,0.482795
m4.10xlarge,0.5137,us-west-2a,2016-01-06,1,0.512687
m4.10xlarge,0.5136,us-west-2a,2016-01-06,2,0.490419
m4.10xlarge,0.451,us-west-2a,2016-01-06,3,0.457495
m4.10xlarge,0.4535,us-west-2a,2016-01-06,4,0.450196
m4.10xlarge,0.4365,us-west-2a,2016-01-06,5,0.434212
m4.10xlarge,0.4151,us-west-2a,2016-01-06,6,0.386204
m4.10xlarge,0.374,us-west-2a,2016-01-06,7,0.372088
m4.10xlarge,0.3713,us-west-2a,2016-01-06,8,0.373332
m4.10xlarge,0.3734,us-west-2a,2016-01-06,9,0.368987
m4.10xlarge,0.3494,us-west-2a,2016-01-06,10,0.343749
m4.10xlarge,0.3344,us-west-2a,2016-01-06,11,0.322213
m4.10xlarge,0.3075,us-west-2a,2016-01-06,12,0.305952
