InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.2xlarge,0.0746,us-west-2c,2016-01-25,0.086134
m4.2xlarge,0.0825,us-west-2c,2016-01-26,0.087517
m4.2xlarge,0.1,us-west-2c,2016-01-27,0.092454
m4.2xlarge,0.0885,us-west-2c,2016-01-28,0.087021
m4.2xlarge,0.1132,us-west-2c,2016-01-29,0.106079
m4.2xlarge,0.1078,us-west-2c,2016-01-30,0.102291
m4.2xlarge,0.0923,us-west-2c,2016-01-31,0.08734
m4.2xlarge,0.0902,us-west-2c,2016-02-01,0.094598
m4.2xlarge,0.1873,us-west-2c,2016-02-02,0.37644
m4.2xlarge,0.0843,us-west-2c,2016-02-03,0.105812
m4.2xlarge,0.1424,us-west-2c,2016-02-04,0.119066
m4.2xlarge,0.1545,us-west-2c,2016-02-05,0.121124
m4.2xlarge,0.1062,us-west-2c,2016-02-06,0.119057
m4.2xlarge,0.1762,us-west-2c,2016-02-07,0.097162
m4.2xlarge,0.0821,us-west-2c,2016-02-08,0.09098
m4.2xlarge,0.0941,us-west-2c,2016-02-09,0.111447
m4.2xlarge,0.1144,us-west-2c,2016-02-10,0.087906
m4.2xlarge,0.088,us-west-2c,2016-02-11,0.096462
m4.2xlarge,0.1754,us-west-2c,2016-02-12,0.14993
m4.2xlarge,0.1402,us-west-2c,2016-02-13,0.13059
m4.2xlarge,0.1106,us-west-2c,2016-02-14,0.112549
m4.2xlarge,0.1081,us-west-2c,2016-02-15,0.121616
m4.2xlarge,0.1272,us-west-2c,2016-02-16,0.119805
m4.2xlarge,0.124,us-west-2c,2016-02-17,0.131214
m4.2xlarge,0.1179,us-west-2c,2016-02-18,0.125866
m4.2xlarge,0.1227,us-west-2c,2016-02-19,0.083598
m4.2xlarge,0.0652,us-west-2c,2016-02-20,0.077863
m4.2xlarge,0.1172,us-west-2c,2016-02-21,0.091528
m4.2xlarge,0.0654,us-west-2c,2016-02-22,0.065983
m4.2xlarge,0.0678,us-west-2c,2016-02-23,0.068085
m4.2xlarge,0.0727,us-west-2c,2016-02-24,0.074103
m4.2xlarge,0.0756,us-west-2c,2016-02-25,0.080428
m4.2xlarge,0.0903,us-west-2c,2016-02-26,0.082118
m4.2xlarge,0.0802,us-west-2c,2016-02-27,0.076393
m4.2xlarge,0.0798,us-west-2c,2016-02-28,0.080892
m4.2xlarge,0.084,us-west-2c,2016-02-29,0.078801
m4.4xlarge,0.118,us-west-2c,2016-01-01,0.121482
m4.4xlarge,0.117,us-west-2c,2016-01-02,0.117817
m4.4xlarge,0.1181,us-west-2c,2016-01-03,0.115775
m4.4xlarge,0.1166,us-west-2c,2016-01-04,0.119937
m4.4xlarge,0.1194,us-west-2c,2016-01-05,0.123598
m4.4xlarge,0.1226,us-west-2c,2016-01-06,0.234085
m4.4xlarge,0.3992,us-west-2c,2016-01-07,0.298931
m4.4xlarge,0.1354,us-west-2c,2016-01-08,0.179997
m4.4xlarge,0.1694,us-west-2c,2016-01-09,0.1687
m4.4xlarge,0.1344,us-west-2c,2016-01-10,0.126356
m4.4xlarge,0.1504,us-west-2c,2016-01-11,0.156089
m4.4xlarge,0.1531,us-west-2c,2016-01-12,0.150063
m4.4xlarge,0.1347,us-west-2c,2016-01-13,0.125504
m4.4xlarge,0.1296,us-west-2c,2016-01-14,0.12673
m4.4xlarge,0.1346,us-west-2c,2016-01-15,0.189365
m4.4xlarge,0.1913,us-west-2c,2016-01-16,0.159186
m4.4xlarge,0.1371,us-west-2c,2016-01-17,0.129687
m4.4xlarge,0.1244,us-west-2c,2016-01-18,0.123449
m4.4xlarge,0.1216,us-west-2c,2016-01-19,0.120105
m4.4xlarge,0.1185,us-west-2c,2016-01-20,0.189666
m4.4xlarge,0.2017,us-west-2c,2016-01-21,0.208576
m4.4xlarge,0.2007,us-west-2c,2016-01-22,0.177674
m4.4xlarge,0.2996,us-west-2c,2016-01-23,0.295552
m4.4xlarge,0.2819,us-west-2c,2016-01-24,0.188196
m4.4xlarge,0.1389,us-west-2c,2016-01-25,0.153317
m4.4xlarge,0.3606,us-west-2c,2016-01-26,0.20448
m4.4xlarge,0.3113,us-west-2c,2016-01-27,0.27545
m4.4xlarge,0.2314,us-west-2c,2016-01-28,0.218372
m4.4xlarge,0.3314,us-west-2c,2016-01-29,0.307038
m4.4xlarge,1,us-west-2c,2016-01-30,0.490921
m4.4xlarge,0.2602,us-west-2c,2016-01-31,0.231531
m4.4xlarge,0.4674,us-west-2c,2016-02-01,0.39542
m4.4xlarge,0.1475,us-west-2c,2016-02-02,0.294337
m4.4xlarge,0.2445,us-west-2c,2016-02-03,0.226886
m4.4xlarge,0.1905,us-west-2c,2016-02-04,0.225389
m4.4xlarge,0.1519,us-west-2c,2016-02-05,0.234667
m4.4xlarge,0.1631,us-west-2c,2016-02-06,1.587126
m4.4xlarge,0.1496,us-west-2c,2016-02-07,0.159049
m4.4xlarge,0.1471,us-west-2c,2016-02-08,0.131095
m4.4xlarge,0.1171,us-west-2c,2016-02-09,0.124168
m4.4xlarge,0.1249,us-west-2c,2016-02-10,0.126921
